x_m,y_m,w_tr_right_m,w_tr_left_m
-12.540676,1.743000,0.7795,0.7795
-12.553438,1.793000,0.8197,0.8197
-12.566116,1.843000,0.8098,0.8098
-12.578768,1.893000,0.8000,0.8000
-12.590469,1.943000,0.8000,0.8000
-12.603021,1.993000,0.8500,0.8500
-12.614520,2.043000,0.8500,0.8500
-12.625905,2.093000,0.8500,0.8500
-12.636258,2.143000,0.8500,0.8500
-12.647390,2.193000,0.8500,0.8500
-12.657406,2.243000,0.9000,0.9000
-12.667252,2.293000,0.9000,0.9000
-12.677005,2.343000,0.9000,0.9000
-12.686631,2.393000,0.9000,0.9000
-12.696970,2.443000,0.9000,0.9000
-12.706140,2.493000,0.9500,0.9500
-12.715972,2.543000,0.9500,0.9500
-12.725461,2.593870,0.9500,0.9500
-12.734476,2.645499,0.9500,0.9500
-12.743873,2.697777,0.9500,0.9500
-12.752659,2.750600,1.0000,1.0000
-12.761698,2.803863,1.0000,1.0000
-12.770006,2.856597,1.0000,1.0000
-12.777471,2.909686,1.0000,1.0000
-12.783984,2.963032,1.0000,1.0000
-12.790425,3.016540,1.0000,1.0000
-12.795822,3.070990,1.0000,1.0000
-12.800079,3.125310,1.0000,1.0000
-12.804085,3.179417,1.0500,1.0500
-12.806881,3.233230,1.0500,1.0500
-12.808381,3.286673,1.0500,1.0500
-12.809486,3.339669,1.0500,1.0500
-12.809248,3.393018,1.0697,1.0697
-12.808578,3.445668,1.0795,1.0795
-12.806535,3.497556,1.0894,1.0894
-12.803054,3.548621,1.0984,1.0984
-12.798070,3.598804,1.0591,1.0591
-12.791523,3.648052,1.0689,1.0689
-12.784341,3.697182,1.0788,1.0788
-12.775599,3.745163,1.0886,1.0886
-12.765249,3.791951,1.0886,1.0886
-12.754229,3.837504,1.0788,1.0788
-12.741628,3.881786,1.0689,1.0689
-12.727408,3.924761,1.0788,1.0788
-12.711532,3.967265,1.0886,1.0886
-12.693970,4.008289,1.0586,1.0586
-12.675675,4.047808,1.0888,1.0888
-12.655754,4.085800,1.0888,1.0888
-12.634185,4.122248,1.0791,1.0791
-12.610950,4.157136,1.1092,1.1092
-12.586033,4.191321,1.0694,1.0694
-12.560407,4.223812,1.0995,1.0995
-12.533194,4.255474,1.0898,1.0898
-12.504389,4.285325,1.0898,1.0898
-12.473992,4.314239,1.0898,1.0898
-12.442989,4.341242,1.0500,1.0500
-12.410515,4.366345,1.0898,1.0898
-12.376582,4.390435,1.0597,1.0597
-12.341202,4.412548,1.0694,1.0694
-12.304390,4.433579,1.0694,1.0694
-12.267149,4.452572,1.0791,1.0791
-12.228634,4.469560,1.0489,1.0489
-12.188870,4.485449,1.0188,1.0188
-12.147888,4.499295,1.0386,1.0386
-12.105720,4.511141,1.0386,1.0386
-12.063386,4.521905,1.0188,1.0188
-12.020057,4.530655,0.9886,0.9886
-11.975777,4.538314,0.9595,0.9595
-11.930591,4.543961,0.9692,0.9692
-11.884550,4.547657,0.9391,0.9391
-11.837706,4.550340,0.9089,0.9089
-11.790114,4.551097,0.8788,0.8788
-11.741831,4.550873,0.8689,0.8689
-11.692919,4.548765,0.8591,0.8591
-11.643441,4.545725,0.8492,0.8492
-11.593463,4.540858,0.7894,0.7894
-11.543055,4.535126,0.7795,0.7795
-11.492289,4.527642,0.7697,0.7697
-11.440254,4.519376,0.7598,0.7598
-11.387896,4.509449,0.7500,0.7500
-11.335293,4.498841,0.7500,0.7500
-11.282525,4.486682,0.7000,0.7000
-11.229676,4.473088,0.7098,0.7098
-11.176830,4.459050,0.7197,0.7197
-11.124079,4.443709,0.7295,0.7295
-11.071512,4.428063,0.6894,0.6894
-11.017371,4.412133,0.6992,0.6992
-10.963602,4.395943,0.7091,0.7091
-10.909428,4.379525,0.6892,0.6892
-10.855930,4.362916,0.7091,0.7091
-10.802220,4.346157,0.7291,0.7291
-10.749266,4.329298,0.7091,0.7091
-10.697168,4.311520,0.7291,0.7291
-10.646029,4.292997,0.7091,0.7091
-10.594970,4.273900,0.7291,0.7291
-10.543984,4.254406,0.7591,0.7591
-10.494046,4.234696,0.7291,0.7291
-10.444279,4.215820,0.7591,0.7591
-10.394680,4.195998,0.7291,0.7291
-10.345241,4.175304,0.7591,0.7591
-10.295958,4.153811,0.7492,0.7492
-10.246825,4.131591,0.7591,0.7591
-10.197835,4.108719,0.7591,0.7591
-10.148984,4.087123,0.7492,0.7492
-10.100266,4.065027,0.7591,0.7591
-10.051674,4.042511,0.7291,0.7291
-10.003205,4.019652,0.7291,0.7291
-9.954851,3.995546,0.7591,0.7591
-9.906607,3.971140,0.7291,0.7291
-9.858467,3.947379,0.7591,0.7591
-9.810427,3.923358,0.7291,0.7291
-9.762479,3.899157,0.7591,0.7591
-9.714620,3.874854,0.7291,0.7291
-9.666842,3.849543,0.7591,0.7591
-9.619140,3.825043,0.7291,0.7291
-9.571509,3.800446,0.7591,0.7591
-9.523943,3.775832,0.7291,0.7291
-9.476436,3.752151,0.7492,0.7492
-9.428983,3.728499,0.7091,0.7091
-9.381578,3.704844,0.7291,0.7291
-9.334215,3.681154,0.7091,0.7091
-9.286889,3.658381,0.7291,0.7291
-9.239594,3.635625,0.7091,0.7091
-9.192325,3.613840,0.7291,0.7291
-9.145075,3.592130,0.6992,0.6992
-9.097839,3.569599,0.7091,0.7091
-9.050612,3.548070,0.6591,0.6591
-9.003388,3.526647,0.6892,0.6892
-8.956161,3.506287,0.6494,0.6494
-8.908925,3.486098,0.6397,0.6397
-8.861675,3.466167,0.5998,0.5998
-8.814406,3.446473,0.5600,0.5600
-8.767111,3.426991,0.5600,0.5600
-8.719785,3.407696,0.5298,0.5298
-8.672422,3.388565,0.5395,0.5395
-8.625017,3.369574,0.5094,0.5094
-8.577564,3.350699,0.4894,0.4894
-8.530057,3.332900,0.5295,0.5295
-8.482491,3.314302,0.5197,0.5197
-8.434860,3.295864,0.5098,0.5098
-8.387158,3.277564,0.5500,0.5500
